1,1082,1181,Operate,stove,
1,1210,1238,Take,oil_container,
1,1271,1310,Open,oil_container,
1,1323,1400,Pour,oil_container,oil_container,pan,
1,1409,1471,Close,juice_container,
1,1472,1500,Put,oil_container,
0,1530,1605,Open,fridge_drawer,
2,1606,1662,Take,patty_container,
0,1654,1697,Close,fridge_drawer,
2,1713,1747,Open,patty_container,
2,1748,1800,Open,patty_container,
2,1801,1854,Take,patty,
2,1873,1904,Put,patty,
2,1919,1943,Close,patty_container,
2,1944,1965,Take,patty_container,
0,1992,2025,Open,fridge,
2,2025,2081,Put,patty_container,
0,2082,2114,Close,fridge,
0,2123,2157,Open,fridge,
6,2159,2196,Take,bread_container,
2,2242,2276,Take,bowl,
2,2269,2295,Take,bowl,
2,2297,2321,Take,eating_utensil,
2,2317,2332,Put,eating_utensil,
2,2433,2462,Take,plate,
2,2467,2497,Put,pan,
6,2505,2533,Open,bread_container,
6,2535,2639,Take,bread,
6,2659,2684,Put,bread,
6,2690,2720,Take,eating_utensil,
6,2771,3005,Divide/Pull Apart,bread,
0,3087,3148,Close,bag,
0,3189,3227,Open,fridge,
6,3232,3281,Put,bread_container,
3,3307,3400,Take,tomato_container,
3,3378,3439,Take,tomato_container,
4,3486,3550,Take,lettuce_container,
0,3568,3630,Close,fridge,
3,3644,3668,Put,tomato_container,
3,3687,3728,Open,tomato_container,
3,3899,3913,Cut,tomato,
3,3913,4103,Cut,tomato,
3,4240,4614,Cut,tomato,
3,4667,4827,Cut,tomato,
3,4899,5057,Cut,tomato,
3,5087,5145,Take,tomato,
3,5167,5227,Put,tomato,
3,5263,5342,Cut,tomato,
2,5400,5426,Take,cooking_utensil,
2,5432,5457,Move Around,patty,
2,5459,5552,Move Around,patty,
2,5556,5588,Put,cooking_utensil,
2,5607,5663,Close,bag,
4,6060,6188,Take,lettuce,
4,6255,6635,Divide/Pull Apart,lettuce,
4,6661,6830,Divide/Pull Apart,lettuce,
4,6710,6881,Divide/Pull Apart,lettuce,
4,6837,6855,Divide/Pull Apart,lettuce,
4,6881,6909,Put,lettuce,
4,6937,7076,Take,lettuce,
4,7114,7248,Divide/Pull Apart,lettuce,
4,7140,7263,Divide/Pull Apart,lettuce,
4,7280,7557,Close,lettuce_container,
0,7609,7666,Open,fridge,
0,7702,7750,Put,bag,
4,7781,7832,Put,lettuce_container,
0,7861,7885,Close,fridge,
0,7887,7908,Open,fridge,
8,7938,7972,Take,condiment_container,
3,8039,8058,Take,cooking_utensil,
3,8063,8158,Move Around,patty,
3,8172,8206,Put,cooking_utensil,
3,8273,8292,Put,cooking_utensil,
3,8292,8318,Put,cooking_utensil,
0,8331,8395,Close,fridge,
0,8396,8435,Open,fridge,
5,8436,8535,Take,cheese,
5,8598,8811,Divide/Pull Apart,cheese_container,
5,8812,8858,Divide/Pull Apart,unknown,
5,8860,8885,Put,cheese,
5,8886,8910,Put,cheese,
5,8936,8972,Take,cheese,
5,8974,9012,Put,cheese,
7,9078,9102,Take,lettuce,
5,9210,9231,Move Around,patty,
5,9239,9445,Move Around,patty,
5,9589,9648,Move Around,patty,
5,9654,9696,Put,cooking_utensil,
5,10280,10302,Take,cooking_utensil,
5,10480,10652,Move Around,patty,
5,10656,10710,Move Around,patty,
5,10711,10905,Move Around,patty,
5,11090,11124,Move Around,patty,
5,11125,11215,Move Around,patty,
5,11313,11347,Put,cheese,
5,11349,11386,Put,cheese,
5,11391,11415,Take,cooking_utensil,
5,11446,11488,Move Around,patty,
5,11879,12509,Move Around,patty,
5,12556,12585,Take,condiment_container,
5,12600,12613,Move Around,plate,
5,12688,13345,Take,patty,
7,13487,13535,Put,tomato,
7,13535,13554,Put,tomato,
7,13615,13665,Transfer,tomato,plate,sandwich,
7,13712,13757,Put,tomato,
7,13757,13782,Put,tomato,
7,13821,13836,Put,lettuce,
7,13836,13849,Take,lettuce,
7,13853,13879,Put,lettuce,
7,13880,13898,Move Around,lettuce,
7,13924,13946,Put,lettuce,
7,13946,13969,Move Around,lettuce,
8,14052,14079,Take,condiment_container,
8,14095,14143,Open,condiment_container,
8,14182,14509,Squeeze,condiment,sandwich,
8,14540,14562,Move Around,condiment_container,
8,14573,14630,Open,condiment_container,
8,14644,14944,Squeeze,condiment,sandwich,
9,15014,15026,Put,bread,
9,15027,15051,Compress,sandwich,
9,15052,15082,Compress,sandwich,
9,15087,15115,Take,sandwich,
9,15115,15160,Put,sandwich,
9,15160,15180,Move Around,sandwich,
