0,651,693,Open,fridge,
0,892,910,Close,fridge,
1,1091,1167,Take,lettuce,
1,1177,1323,Divide/Pull Apart,lettuce,
1,1324,1414,Put,lettuce,
1,1571,1843,Wash,lettuce,
1,1845,1859,Wash,lettuce,
5,2096,2173,Take,plate,
5,2250,2270,Transfer,plate,plate,unknown,
5,2270,2287,Put,lettuce,
5,2300,2342,Put,plate,
1,2346,2381,Take,eating_utensil,
1,2438,2907,Cut,lettuce,
3,3055,3093,Take,cucumber,
3,3224,3266,Take,plate,
3,3266,3293,Put,plate,
3,3353,3378,Take,eating_utensil,
3,3379,3875,Cut,cucumber,
3,3876,3905,Put,eating_utensil,
3,4025,4042,Take,eating_utensil,
3,4089,4299,Cut,cucumber,
3,4305,4330,Put,cucumber,
3,4353,5000,Cut,cucumber,
2,5008,5032,Take,tomato,
2,5135,5506,Cut,tomato,
2,5508,5526,Transfer,tomato,plate,plate,
2,5597,5860,Cut,tomato,
4,5869,5892,Take,onion,
4,5926,6339,Cut,onion,
4,6343,6360,Put,onion,
4,6374,6457,Cut,onion,
4,6525,6539,Put,eating_utensil,
5,6579,6956,Mix,salad,
0,7106,7145,Open,fridge,
6,7163,7214,Take,cheese_container,
0,7229,7322,Close,fridge,
6,7358,7374,Put,cheese_container,
6,7375,7441,Open,cheese_container,
6,7463,7488,Take,eating_utensil,
6,7490,7664,Take,unknown,
6,7665,8232,Transfer,cheese,cheese_container,salad,
6,8234,8259,Put,eating_utensil,
6,8285,8393,Close,cheese_container,
0,8438,8477,Open,fridge,
0,8496,8532,Open,fridge,
6,8531,8560,Put,cheese_container,
0,8595,8635,Close,fridge,
0,8659,8691,Open,fridge,
6,8714,8756,Take,condiment_container,
6,8792,8842,Take,condiment_container,
0,8908,8993,Close,fridge,
7,9011,9043,Put,condiment_container,
7,9055,9089,Open,condiment_container,
7,9090,9118,Take,condiment_container,
7,9124,9174,Pour,condiment,condiment_container,salad,
7,9185,9202,Close,juice_container,
7,9241,9300,Open,condiment_container,
7,9306,9361,Pour,condiment,condiment_container,salad,
7,9364,9439,Close,condiment_container,
7,9561,9596,Take,condiment_container,
7,9609,9680,Open,oil_container,
7,9681,9799,Pour,condiment,condiment_container,salad,
7,9800,9884,Pour,oil_container,oil_container,salad,
7,9886,9913,Put,condiment_container,
7,9918,9935,Take,eating_utensil,
7,9937,10336,Move Around,salad,eating_utensil,
7,10336,10350,Move Around,eating_utensil,
0,10370,10393,Take,lettuce_container,
0,10406,10454,Open,fridge,
1,10478,10534,Put,lettuce_container,
7,10611,10652,Take,condiment_container,
0,10683,10737,Open,fridge,
7,10738,10799,Put,condiment_container,
0,10829,10856,Close,fridge,
0,10929,10961,Wash,unknown,
0,10984,11023,Take,paper_towel,
0,11025,11074,Dry,unknown,paper_towel,
