0,1453,1536,Operate,stove,
0,1609,1629,Put,bowl,
0,1654,1695,Open,fridge,
1,1702,1766,Take,egg_container,
1,1786,1819,Put,egg_container,
2,1850,1889,Take,milk_container,
2,1951,1975,Put,milk_container,
1,1985,2087,Open,egg_container,
1,2090,2125,Take,egg,
1,2129,2210,Crack,egg,
1,2225,2255,Put,egg,
1,2257,2274,Take,egg,
1,2277,2357,Crack,egg,
1,2358,2386,Put,egg,
2,2404,2424,Move Around,salt_container,
2,2435,2493,Open,salt_container,
2,2494,2588,Pour,salt_container,unknown,
2,2593,2660,Pour,salt_container,egg,
2,2670,2698,Open,milk_container,
2,2701,2856,Pour,milk_container,milk_container,bowl,
3,2907,3548,Mix,egg,
2,3551,3570,Close,salt_container,
2,3570,3586,Put,salt_container,
4,3655,3737,Take,oil_container,
4,3739,3787,Open,oil_container,
4,3784,3802,Put,unknown,
4,3852,3875,Take,pan,
4,3875,3942,Pour,oil_container,oil_container,pan,
4,3964,4024,Spread,oil_container,pan,
4,4021,4061,Put,pan,
0,4313,4464,Inspect/Read,recipe,
5,4512,4586,Mix,egg,
5,4616,4714,Move Around,pan,
5,4786,4860,Move Around,pan,
5,4978,5117,Pour,egg,bowl,pan,
5,5128,5149,Put,bowl,
5,7576,7609,Operate,stove,
5,7641,7693,Take,plate,
5,7695,7733,Transfer,egg,pan,plate,
5,7735,7896,Transfer,egg,pan,plate,
5,8166,8190,Put,pan,
0,8215,8307,Inspect/Read,recipe,
0,8347,8390,Open,fridge,
6,8382,8417,Take,juice_container,
6,8502,8528,Open,juice_container,
6,8528,8546,Open,juice_container,
6,8548,8666,Pour,juice_container,juice_container,cup,
6,8667,8681,Put,juice_container,
6,8702,8741,Put,cup,
6,8754,8770,Take,juice_container,
6,8772,8801,Close,juice_container,
0,8830,8859,Open,fridge,
6,8854,8899,Put,juice_container,
0,8901,8946,Close,fridge,
0,8959,9061,Inspect/Read,recipe,
0,9085,9130,Open,fridge_drawer,
8,9124,9153,Take,bacon,
8,9274,9305,Take,pan,
0,9342,9474,Clean/Wipe,pan,paper_towel,
8,9530,9561,Put,pan,
5,9597,9659,Close,egg_container,
7,9679,9722,Close,oil_container,
8,9754,9877,Open,bacon,
8,9882,10034,Take,bacon,
8,10284,10311,Put,eating_utensil,
8,10347,10506,Cut,bacon,
8,10509,10530,Put,eating_utensil,
8,10527,10543,Take,bacon,
8,10564,10772,Put,bacon,
8,10774,10846,Operate,stove,
8,10856,10987,Put,bacon,
8,11111,11261,Move Around,bacon,
8,11269,11476,Move Around,bacon,
8,11586,12195,Move Around,bacon,
8,12197,12260,Move Around,bacon,
8,12260,12452,Move Around,bacon,
8,12879,13023,Move Around,bacon,cooking_utensil,
8,13058,13454,Move Around,bacon,cooking_utensil,
8,13981,14189,Move Around,bacon,
8,15298,15322,Move Around,bacon,
8,15351,15391,Operate,stove,
8,15454,15744,Transfer,bacon,pan,plate,
8,15747,15818,Transfer,bacon,pan,plate,
8,15903,15993,Put,pan,
0,16011,16112,Inspect/Read,recipe,
0,16141,16181,Open,fridge,
9,16210,16307,Take,bread_container,
9,16345,16372,Put,bread_container,
0,16388,16437,Open,fridge_drawer,
9,16443,16476,Take,condiment_container,
9,16508,16526,Put,condiment_container,
9,16584,16704,Open,condiment_container,
9,16725,16800,Open,bread_container,
9,16805,16851,Take,bread,
9,16872,16915,Divide/Pull Apart,bread,
9,16911,16975,Divide/Pull Apart,bread,
9,16978,17003,Take,eating_utensil,
9,17087,17162,Clean/Wipe,eating_utensil,
9,17169,17543,Spread,condiment,bread,eating_utensil,
9,17546,17576,Put,bread,
9,17558,17574,Put,bread,
9,18112,18184,Put,bread,
9,18188,18211,Take,plate,
9,18295,18328,Put,plate,
9,18411,18431,Take,eating_utensil,
9,18461,18483,Put,eating_utensil,
9,18489,18550,Move Around,bread_container,
9,18552,18612,Close,condiment_container,
0,18635,18693,Close,milk_container,
0,18694,18709,Take,milk_container,
0,18711,18725,Put,milk_container,
0,18741,18782,Take,egg_container,
0,18822,18846,Open,fridge,
0,18852,18906,Put,egg_container,
0,18936,18970,Put,bread_container,
0,18975,19021,Close,fridge,
0,19026,19059,Open,fridge,
0,19055,19081,Put,condiment_container,
00,19075,19093,Close,fridge,
0,19119,19166,Take,paper_towel,
0,19178,19208,Put,bacon,
0,19211,19231,Put,bacon,
0,19317,19342,Take,bowl,
0,19344,19375,Put,bowl,
0,19386,19407,Put,bowl,
0,19467,19570,Inspect/Read,recipe,
